,id,year,debt,threat,rec1,rec2,rd_ratio,se,log_assets,mkt_share,mkt_growth
10071,400.0,19.0,2.685,1.3211,0,0,0.17733468613525077,-0.15455526282239873,3.015240739942034,0.008258956575908085,0.18675995606098883
10080,400.0,20.0,3.916,1.1614,0,0,0.19214272677495894,-0.17739360127732207,2.8993865577673064,0.007428848463236632,0.07481226202899961
10089,400.0,21.0,6.284,1.1698,0,0,0.15126784358224588,-0.18560508486654576,2.736702443675372,0.0072022416778408605,0.07838657451563627
10095,400.0,22.0,4.462,1.1273,0,0,0.16239197282684043,-0.16636336307601995,2.83527005111293,0.006974679659818968,-0.024788853506130706
10105,400.0,23.0,6.581,1.1314,0,0,0.15455526576130946,-0.18418907769627818,2.689478815516775,0.006128001788435193,0.16967153555326123
10117,400.0,24.0,4.944,1.1196001,0,0,0.17236049672227255,-0.1956069379576108,2.563024429051952,0.004766310765448399,0.08478352536072764
10142,507.0,21.0,0.0,29.8783,0,0,0.38339613613254386,-0.0828751805432605,5.145772064079364,0.015765846280952473,0.07838657451563627
10145,507.0,22.0,0.0,1.0,0,0,0.2651353195360473,-0.12084017789251349,5.361526879945921,0.03543101167362632,-0.024788853506130706
10146,507.0,23.0,0.0,1.0075001,0,0,0.19967538026394185,-0.13193645602593476,5.348886899083155,0.04023709133653843,0.16967153555326123
10151,507.0,24.0,0.0,1.0027,0,0,0.23350072993585047,-0.1813167871485944,5.325081003817251,0.041935558284523694,0.08478352536072764
10154,4.0,5.0,27.767,1.1729,0,0,0.07118860647887752,-0.10766104811230749,4.390825312530228,0.16085818549873596,0.12208801792870141
10185,160.0,1.0,1.894,1.2342,0,0,0.07713450327150846,-0.07970790658286103,5.663401355158491,1.2398697507141254,-0.7314524379326947
10202,329.0,3.0,0.004,10.2567,0,0,0.3797114844113541,-0.3407139543605965,0.7943490610689127,0.002581189055667119,0.3130194783479193
10245,329.0,4.0,0.0,14.1918,0,0,0.08954602249062892,-0.11565096952908586,0.36741704047063445,0.003293961959198086,-0.12449832716968849
10246,45.0,4.0,0.0,1.1919,0,0,0.38734841431357586,-0.5783228696173843,2.7081835255474447,0.032357928683734306,-0.12449832716968849
10265,45.0,5.0,10.0,1.2577,0,0,0.7751461698543257,-0.5946127929292929,2.474856313934499,0.012337685647262548,0.12208801792870141
10290,292.0,6.0,27.467,1.5583,0,0,0.009208443535620054,0.0028161763630701734,4.302157870204682,0.03880084265602067,0.1942563164402284
10297,45.0,6.0,10.0,1.1435,0,0,0.3431696244325217,-0.4461040976285803,2.5640258542405996,0.019844737046023873,0.1942563164402284
10325,45.0,7.0,10.0,1.492,0,0,0.395202300159417,-0.3030478690637283,2.7420650796894876,0.013264406884860538,0.016714000452772063
10328,372.0,7.0,72.0,9.7840004,0,0,0.43970817961245723,-0.8561791689152726,3.389394669543004,0.060591544818158205,0.016714000452772063
10359,372.0,8.0,95.082,10.2363,1,0,0.3387098647303903,-0.2916892839488311,4.41812951165416,0.07649209096020189,0.20380480746088595
10399,372.0,9.0,34.025,11.2832,0,0,0.2546773696675603,-0.5285350038161892,4.2404774711700615,0.11347284518915496,0.2730042684237936
10440,372.0,10.0,30.0,11.8023,0,0,0.1845887796270955,-0.13439608250842677,5.821903231056291,0.1633094008791245,0.13787925466332168
10459,372.0,11.0,0.209,12.3719,0,0,0.22342206057484953,-0.1764515458507546,6.374898747145324,0.23269474330140255,0.23362089262697497
10463,438.0,10.0,2.765,1.7232,0,0,0.02368306617326948,-0.018354031993264575,3.1677930346388847,0.01326422945045027,0.13787925466332168
10490,496.0,12.0,3.632,6.3529,0,0,0.3084430019517723,-0.20570034100955667,3.167708838292956,0.007631198929962058,-0.025730570069213456
10497,438.0,11.0,1.562,4.8112001,0,0,0.00931633049946865,0.00590623800295312,3.076021104782794,0.013214483495201395,0.23362089262697497
10507,496.0,13.0,2.379,1.7111,0,0,0.2753510205408216,-0.09344883578882071,3.809702309278307,0.0070359231395280605,0.05052991428779367
10524,438.0,12.0,1.667,3.3113999,0,0,0.010051463493084592,0.03464498239710877,3.4687625678245793,0.023900167447713443,-0.025730570069213456
10529,510.0,13.0,0.0,3.3213999,0,0,0.07307241094576837,-0.052092181923246876,4.7679350852328275,0.05151078726981061,0.05052991428779367
10534,403.0,13.0,0.0,1.0344,0,0,0.006638987819995672,-0.007557406122848331,4.998555965200895,0.11621575983942911,0.05052991428779367
10553,368.0,14.0,0.0,5.3969998,0,0,0.0,0.056624108453661885,3.9854779072349866,0.11835116615915844,0.07266164394261859
10554,510.0,14.0,0.0,3.2221,0,0,0.07723117014558697,-0.05011862020253203,4.869463358147191,0.04928907351533043,0.07266164394261859
10569,438.0,13.0,3.085,3.9237001,0,0,0.025086968156275088,-0.007571589509811626,3.642023667828673,0.027346068406049254,0.05052991428779367
10586,368.0,15.0,0.0,4.5622001,0,1,0.0,0.037949698844212926,3.8947547638616262,0.13064267810785257,0.03526992407433525
10587,438.0,14.0,10.787,4.1166,0,0,0.029107844564110027,-0.0005071346808664795,4.234323872275541,0.023436836990948895,0.07266164394261859
10592,510.0,15.0,0.0,3.4356999,0,1,0.0698726367917658,-0.029255696901089572,4.951168335262708,0.050896824350669695,0.03526992407433525
10599,532.0,15.0,0.0,10.4323,0,1,4.236413043478261,-0.12795118625264348,4.460525844074283,0.0012124763386931075,0.03526992407433525
10612,368.0,16.0,0.397,5.0370998,0,0,0.0,0.006993688147744097,3.9383143393822144,0.16886141431991697,-0.13561477422516827
